id;department_code;insee_code;zip_code;name;slug;gps_lat;gps_lng
19122;51;51539;51340;Sogny-en-l'Angle;sogny en l angle;4,88198E+12;4,80524E+13
19123;51;51542;51120;Soizy-aux-Bois;soizy aux bois;4,88116E+13;3,73164E+13
19124;51;51543;51800;Somme-Bionne;somme bionne;4,90909E+13;4,7207E+13
19125;51;51544;51600;Sommepy-Tahure;sommepy tahure;4,92423E+13;4,61083E+13
19126;51;51545;51320;Sommesous;sommesous;4,87267E+13;4,20659E+12
19127;51;51546;51600;Somme-Suippe;somme suippe;4,91215E+13;4,59088E+13
19128;51;51547;51600;Somme-Tourbe;somme tourbe;4,90988E+13;4,66085E+13
19129;51;51548;51460;Somme-Vesle;somme vesle;4,8994E+13;4,61606E+13
19130;51;51549;51330;Somme-Yèvre;somme yevre;4,89455E+13;4,74096E+13
19131;51;51550;51320;Sompuis;sompuis;4,86827E+13;4,36486E+13
19132;51;51551;51290;Somsois;somsois;485951465;4,50284E+13
19133;51;51552;51240;Songy;songy;4,87993E+13;4,49162E+13
19134;51;51553;51600;Souain-Perthes-lès-Hurlus;souain perthes les hurlus;4,91897E+13;4,58649E+13
19135;51;51555;51320;Soudé;soude;4,87269E+13;4,30458E+13
19136;51;51556;51320;Soudron;soudron;4,88313E+12;4,18849E+13
19137;51;51557;51300;Soulanges;soulanges;4,87855E+13;4,54931E+13
19138;51;51558;51130;Soulières;soulieres;4,89027E+13;3,93111E+13
19139;51;51559;51600;Suippes;suippes;4,91263E+13;4,51985E+13
19140;51;51560;51270;Suizy-le-Franc;suizy le franc;4,89546E+13;372832625
19141;51;51562;51500;Taissy;taissy;4,92064E+13;4,08028E+13
19142;51;51563;51270;Talus-Saint-Prix;talus saint prix;4,88318E+13;3,74303E+13
19143;51;51564;51150;Val de Livre;val de livre;4,91053E+13;4,11059E+13
19144;51;51565;51230;Thaas;thaas;4,86418E+12;3,88601E+13
19145;51;51566;51510;Thibie;thibie;4,89176E+12;4,2144E+13
19146;51;51567;51300;Thiéblemont-Farémont;thieblemont faremont;4,86928E+13;4,73028E+13
19147;51;51568;51220;Thil;thil;4,93157E+13;3,96219E+13
19148;51;51569;51370;Thillois;thillois;49260068;3,94704E+13
19149;51;51570;51210;Le Thoult-Trosnay;le thoult trosnay;4,8859E+13;3,68572E+13
19150;51;51571;51360;Val-de-Vesle;val de vesle;4,91825E+12;4,22039E+13
19151;51;51572;51460;Tilloy-et-Bellay;tilloy et bellay;4,90298E+13;4,62798E+13
19152;51;51573;51430;Tinqueux;tinqueux;4,92508E+13;3,99032E+13
19153;51;51574;51240;Togny-aux-Bœufs;togny aux boeufs;48853334375;4,43398E+11
19154;51;51576;51150;Tours-sur-Marne;tours sur marne;4,90442E+13;4,12078E+13
19155;51;51577;51170;Tramery;tramery;4,92266E+13;3,8048E+13
19156;51;51578;51130;Trécon;trecon;4,88643E+13;4,08263E+13
19157;51;51579;51210;Tréfols;trefols;4,8795E+13;3,50303E+13
19158;51;51580;51380;Trépail;trepail;4,91052E+12;4,18601E+13
19159;51;51581;51140;Treslon;treslon;4,92417E+13;3,82906E+13
19160;51;51582;51140;Trigny;trigny;4,92934E+13;3,88493E+13
19161;51;51583;51340;Trois-Fontaines-l'Abbaye;trois fontaines l abbaye;4,87075E+13;4,9437E+13
19162;51;51584;51500;Trois-Puits;trois puits;4,92043E+13;4043115
19163;51;51585;51700;Troissy;troissy;4,90711E+13;3,70317E+13
19164;51;51586;51170;Unchair;unchair;4,92885E+13;3,74694E+13
19165;51;51587;51400;Vadenay;vadenay;4,90784E+13;4,41029E+13
19166;51;51588;51800;Valmy;valmy;4,90758E+13;4,77458E+13
19167;51;51589;51330;Vanault-le-Châtel;vanault le chatel;4,8864E+13;4,7256E+13
19168;51;51590;51340;Vanault-les-Dames;vanault les dames;4,88392E+13;4,79029E+13
19169;51;51591;51140;Vandeuil;vandeuil;4,92877E+13;3,79508E+13
19170;51;51592;51700;Vandières;vandieres;4,91168E+13;3,72501E+13
19171;51;51594;51320;Vassimont-et-Chapelaine;vassimont et chapelaine;4,87615E+13;4,14454E+13
19172;51;51595;51320;Vatry;vatry;4,88229E+13;4,24155E+13
19173;51;51596;51210;Vauchamps;vauchamps;4,88789E+13;3,6289E+13
19174;51;51597;51480;Vauciennes;vauciennes;4,90525E+13;3882016
19175;51;51598;51300;Vauclerc;vauclerc;4,87102E+13;4,67382E+13
19176;51;51599;51380;Vaudemange;vaudemange;4,90935E+13;4,22634E+12
19177;51;51600;51600;Vaudesincourt;vaudesincourt;4,92207E+13;4,39008E+13
19178;51;51601;51300;Vavray-le-Grand;vavray le grand;4,87926E+13;4,71037E+13
19179;51;51602;51300;Vavray-le-Petit;vavray le petit;4880426624;4724264
19180;51;51603;51130;Vélye;velye;4,8896E+13;4,14546E+13
19181;51;51604;51140;Ventelay;ventelay;4,934E+13;3,79183E+13
19182;51;51605;51480;Venteuil;venteuil;4,90858E+13;3,84542E+13
19183;51;51607;51210;Verdon;verdon;48949789625;36170085
19184;51;51608;51330;Vernancourt;vernancourt;4,88539E+13;4,82879E+13
19185;51;51609;51700;Verneuil;verneuil;4,91056E+13;3,67249E+13
19186;51;51610;51800;Verrières;verrieres;4,90628E+13;4,90788E+13
19187;51;51611;51130;Vert-Toulon;vert toulon;4,88474E+12;3,90314E+13
19188;51;51612;51130;Blancs-Coteaux;blancs coteaux;488698278;40398385
19189;51;51612;51190;Blancs-Coteaux;blancs coteaux;489614053;40178619
19190;51;51613;51360;Verzenay;verzenay;4,91586E+13;4138515
19191;51;51614;51380;Verzy;verzy;49145679;4,16056E+13
19192;51;51616;51240;Vésigneul-sur-Marne;vesigneul sur marne;4,88718E+13;4,45533E+13
19193;51;51617;51520;La Veuve;la veuve;4,90384E+13;4,33094E+13
19194;51;51618;51210;Le Vézier;le vezier;4,88032E+13;3,4417E+13
19195;51;51619;51330;Le Vieil-Dampierre;le vieil dampierre;4,89819E+12;4,934E+11
19196;51;51620;51800;Vienne-la-Ville;vienne la ville;4,9167E+13;4,85568E+13
19197;51;51621;51800;Vienne-le-Château;vienne le chateau;4,91973E+13;4,92484E+13
19198;51;51622;51390;Ville-Dommange;ville dommange;4920393175;3936731
19199;51;51623;51500;Ville-en-Selve;ville en selve;4,91258E+13;4,08426E+13
19200;51;51624;51170;Ville-en-Tardenois;ville en tardenois;4,91805E+13;3,79586E+13
19201;51;51625;51310;Villeneuve-la-Lionne;villeneuve la lionne;48771400625;3,44121E+13
19202;51;51626;51120;La Villeneuve-lès-Charleville;la villeneuve les charleville;4,87943E+12;3,70592E+13
19203;51;51627;51130;Villeneuve-Renneville-Chevigny;villeneuve renneville chevigny;4,89207E+13;4,05941E+13
19204;51;51628;51120;Villeneuve-Saint-Vistre-et-Villevotte;villeneuve saint vistre et villevotte;4,86344E+13;3,75618E+13
19205;51;51629;51500;Villers-Allerand;villers allerand;4,91556E+12;4,01941E+13
19206;51;51630;51130;Villers-aux-Bois;villers aux bois;4,89351E+13;3,93195E+13
19207;51;51631;51500;Villers-aux-Nœuds;villers aux noeuds;4,91939E+13;3,99593E+13
19208;51;51632;51800;Villers-en-Argonne;villers en argonne;4,90201E+13;4,94599E+13
19209;51;51633;51220;Villers-Franqueux;villers franqueux;4,93281E+12;3,9443E+13
19210;51;51634;51510;Villers-le-Château;villers le chateau;4,89328E+13;4,26538E+13
19211;51;51635;51250;Villers-le-Sec;villers le sec;4,88177E+13;4,85387E+13
19212;51;51636;51380;Villers-Marmery;villers marmery;4,91296E+13;4,20055E+13
19213;51;51637;51700;Villers-sous-Châtillon;villers sous chatillon;4,91009E+13;3,81035E+13
19214;51;51638;51130;Villeseneux;villeseneux;4,88397E+13;4,13707E+12
19215;51;51639;51270;La Ville-sous-Orbais;la ville sous orbais;4,89659E+13;3,68039E+13
19216;51;51640;51800;Ville-sur-Tourbe;ville sur tourbe;4,91962E+13;4,78602E+13
19217;51;51641;51270;Villevenard;villevenard;4,88382E+13;3,80419E+13
19218;51;51642;51260;Villiers-aux-Corneilles;villiers aux corneilles;4,8572E+13;3,68E+13
19219;51;51643;51530;Vinay;vinay;4,90146E+13;3,89809E+13
19220;51;51644;51700;Vincelles;vincelles;4,90936E+13;3,63783E+13
19221;51;51645;51120;Vindey;vindey;4,86999E+12;3,70609E+13
19222;51;51646;51800;Virginy;virginy;4,91741E+13;4,75531E+13
19223;51;51647;51300;Vitry-en-Perthois;vitry en perthois;4,87471E+13;4,62646E+13
19224;51;51648;51240;Vitry-la-Ville;vitry la ville;4,88415E+13;4,45171E+13
19225;51;51649;51300;Vitry-le-François;vitry le francois;4873403225;45888525
19226;51;51650;51800;Voilemont;voilemont;4,90452E+13;4,79888E+13
19227;51;51652;51260;Vouarces;vouarces;4,85866E+13;3,89173E+13
19228;51;51654;51340;Vouillers;vouillers;4,86883E+13;4,85085E+13
19229;51;51655;51130;Vouzy;vouzy;4,89215E+13;4,09961E+13
19230;51;51656;51150;Vraux;vraux;4,90264E+13;4,2411E+13
19231;51;51657;51390;Vrigny;vrigny;4,92374E+12;391045625
19232;51;51658;51330;Vroil;vroil;4,88524E+13;4,90765E+13
19233;51;51659;51800;Wargemoulin-Hurlus;wargemoulin hurlus;4,91641E+13;4,66396E+13
19234;51;51660;51110;Warmeriville;warmeriville;4,93594E+12;4,24143E+13
19235;51;51662;51420;Witry-lès-Reims;witry les reims;4,92909E+13;4,11592E+13
19236;51;51663;51530;Magenta;magenta;4,90534E+13;3,96564E+13
19237;52;52001;52340;Ageville;ageville;481124236;53421013
