LE_ID,ENGLISH,GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,OBJECTID,Shape__Area,Shape__Length
1360405,GORT-KINVARA LEA-5,,Gaillimh,GALWAY,Connacht,2ae19629-3ef4-13a3-e055-999330000001,546619.92,707951.16,613087072.1,54,613032028.653229,245253.176877317
13260416,CLONDALKIN LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f55-13a3-e055-000000000001,702818.86,726627.14,75701326.65,55,75741801.5699158,49964.0247733997
13180400,BIRR LEA-6,,Uíbh Fhailí,OFFALY,Leinster,2ae19629-3f21-13a3-e055-000000000001,611040.21,706125.44,1009479349.72,56,1009489252.35516,225975.029124653
13260420,BALLYMUN-FINGLAS LEA-6,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f56-13a3-e055-000000000001,713959.78,739257.98,10992513.32,57,11004563.8235168,16671.3341776174
13240404,WEXFORD LEA-7,,Loch Garman,WEXFORD,Leinster,2ae19629-3ef4-13a3-e055-000024000001,701839.26,624607.89,159775564.13,58,159750896.957916,105810.952156536
13240401,KILMUCKRIDGE LEA-4,,Loch Garman,WEXFORD,Leinster,2ae19629-3f3a-13a3-e055-000000000001,710008.55,641069.37,400476465.19,59,400495207.615448,113530.470420225
1370400,LISTOWEL LEA-6,,Ciarraí,KERRY,Munster,2ae19629-3f6b-13a3-e055-000000000001,489694.26,635124.43,815529516.9,60,815389429.58075,198156.441090575
1350406,LIFFORD-STRANORLAR LEA-6,,Dún na nGall,DONEGAL,Ulster,2ae19629-3ef4-13a3-e055-075000000001,615123.4,898758.19,708024604.64,61,708134041.763184,170872.756601361
1330404,KILRUSH LEA-5,,An Clár,CLARE,Munster,2ae19629-3ef4-13a3-e055-000000044001,501870.41,663859.45,1142909200.23,62,1143025000.19424,260817.385864181
1340412,CORK CITY SOUTH EAST LEA-6,,Corcaigh,CORK,Munster,2ae19629-3ef4-13a3-e055-999990000001,571820.37,568962.74,32191221.51,63,32202864.3248596,28229.0758100094
1340402,MIDLETON LEA-7,,Corcaigh,CORK,Munster,2ae19629-3f65-13a3-e055-000000000001,594833.86,574449.29,552703226.5,64,552689279.138275,181505.705490415
13120400,NEWCASTLE WEST LEA-6,,Luimneach,LIMERICK,Munster,2ae19629-3f07-13a3-e055-000000000001,528978.57,632878.5,737389404.39,65,737413578.006165,199674.047432015
13250405,BRAY EAST LEA-4,,Cill Mhantáin,WICKLOW,Leinster,2ae19629-3ef4-13a3-e055-999220000001,726645.73,718232.55,4619049.15,66,4632709.21334839,13563.2206032738
1390401,KILKENNY LEA-7,,Cill Chainnigh,KILKENNY,Leinster,2ae19629-3f75-13a3-e055-000000000001,649302.06,658022.3,78477686.48,67,78465511.2268677,49217.0256498916
13130402,LONGFORD LEA-7,,An Longfort,LONGFORD,Leinster,2ae19629-3f0f-13a3-e055-000000000001,613075.51,778755.54,171731551.34,68,171690223.525513,99588.9126095066
1380400,MAYNOOTH LEA-5,,Cill Dara,KILDARE,Leinster,2ae19629-3f6f-13a3-e055-000000000001,689061.56,735671.49,164022660.78,69,164053134.527252,73186.9419277159
13180402,EDENDERRY LEA-6,,Uíbh Fhailí,OFFALY,Leinster,2ae19629-3f23-13a3-e055-000000000001,652184.7,725706.97,591115746.55,70,591103190.295044,140884.697773501
13140404,DROGHEDA URBAN LEA-6,,Lú,LOUTH,Leinster,2ae19629-3ef4-13a3-e055-997550000001,708865.49,775010.36,9345858.73,71,9331260.85934448,17367.0526718957
13100401,PORTLAOISE LEA-7,,Laois,LAOIS,Leinster,2ae19629-3f00-13a3-e055-000000000001,646834.75,693199,292964376.77,72,292987531.665405,121417.741497019
13260417,BALBRIGGAN LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef4-13a3-e055-997440000001,722239.55,760935.01,56703344.27,73,56740673.9338684,48296.3477279601
13260414,FIRHOUSE-BOHERNABREENA LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f53-13a3-e055-000000000001,711735.16,721926.53,54591719.76,74,54584367.7809448,39178.6825219115
1380402,NAAS LEA-7,,Cill Dara,KILDARE,Leinster,2ae19629-3f71-13a3-e055-000000000001,694116.43,718202.21,188255341.55,75,188284852.277924,87870.3490228257
1360400,CONAMARA NORTH LEA-4,,Gaillimh,GALWAY,Connacht,2ae19629-3f48-13a3-e055-000000000001,487177.08,746751.04,1525641267.65,76,1525344918.52396,921396.079431682
13210403,CLONMEL LEA-6,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-3f2f-13a3-e055-000000000001,622242.17,629840.91,250247647.74,77,250236505.275726,101202.00416743
1320401,BAILIEBOROUGH - COOTEHILL LEA-6,,An Cabhán,CAVAN,Ulster,2ae19629-3f2a-13a3-e055-000000000001,661329.76,804522.6,646035575.54,78,646045884.494019,179946.423578576
1310401,TULLOW LEA-6,,Ceatharlach,CARLOW,Leinster,2ae19629-3f03-13a3-e055-000000000001,687073.85,669295.18,415169004.66,79,415087422.614319,160059.637354193
