Jaar;LEEFTIJD;GESLACHT;vervoerwijze;vervoerwijzefilter;wegvak/kruispunt;wegbeheerder;wegnummer;HECTOMETER;STRAAT1;STRAAT2;STRAAT3;GEMEENTE;GEMEENTE 2013;PROVINCIE;type locatie;X_COORD;Y_COORD;latitude;longitude
2009;48;M;Bestelauto;5;340565002;;;;Kleaster Anjum;Kleaster Anjum;KLEASTERDIJK;Menaldumadeel;Menaldumadeel;Friesland;W;170549;582928;5323272108;5620062934
2009;21;M;Personenauto;1;341274012;;;144,6;Rijksweg A15;Rijksweg A15;DODEWAARD 36;Neder-Betuwe;Neder-Betuwe;Gelderland;W;171304;437128;519223939;5624211235
2009;22;M;Personenauto;1;341274012;;;144,6;Rijksweg A15;Rijksweg A15;DODEWAARD 36;Neder-Betuwe;Neder-Betuwe;Gelderland;W;171304;437128;519223939;5624211235
2009;70;M;Fiets;2;343185010;;;;Lieshoutseweg;Lieshoutseweg;Orchideestraat;Laarbeek;Laarbeek;Noord-Brabant;K;171892;392929;5152509865;563060802
2009;19;M;Personenauto;1;343203001;;;;Boekelseweg;Berkensteeg;Veluwe;Veghel;Veghel;Noord-Brabant;W;172230;401676;5160371103;5635909049
2009;22;M;Fiets;2;343275020;;;;Parallelweg;Parallelweg;Smachtkamp;Neder-Betuwe;Neder-Betuwe;Gelderland;K;171594;437620;519268075;5628450642
2009;32;M;Personenauto;1;343308002;;;;Edeseweg;Tolhuisweg;Edeseweg;Ede;Ede;Gelderland;W;171670;454055;5207452434;5630356044
2009;13;V;Fiets;2;344233014;;;;Akkerwinde;De Louwstraat;De Louwstraat;Landerd;Landerd;Noord-Brabant;K;172282;416719;5173892252;5637406531
2009;51;V;Fiets;2;344300240;;;;Hofbeeklaan;Hofbeeklaan;Nienhof;Ede;Ede;Gelderland;K;172118;450433;5204195612;5636708933
2009;83;V;Personenauto;1;345294011;;;108,9;RYKSWG;RYKSWG;WAGENINGEN 24;Ede;Ede;Gelderland;W;172968;447432;5201495611;5648940335
2009;51;V;Motor;4;347188017;;;;BROEKDALERBAAN;Gemertseweg;Gemertseweg;Laarbeek;Laarbeek;Noord-Brabant;K;173844;394246;5153687451;5658806016
2009;25;V;Personenauto;1;347287002;;;;Nijenoord Allee;Nijenoord Allee;Bornsesteeg;Wageningen;Wageningen;Gelderland;W;173990;443629;5198074042;5663616535
2009;87;V;Personenauto;1;348209006;;;;Brabantstraat;Brabantstraat;Zeelandsedijk;Uden;Uden;Noord-Brabant;K;174066;404896;516325945;56625865
2009;24;M;Motor;4;348210011;;;;Heikantstraat;Zeelandsedijk;Zeelandsedijk;Uden;Uden;Noord-Brabant;K;174272;405241;5163568847;5665580945
2009;60;M;Motor;4;349262004;;;67,2;PROVINCIALEWEG;Maas en Waalweg;PROVINCIALEWEG;Beuningen;Beuningen;Gelderland;W;175378;431067;5186778208;568307471
2009;19;M;Bestelauto;5;350467001;;;;Wrakkenweg;IJzerpad;Veneweg;Noordoostpolder;Noordoostpolder;Flevoland;W;175510;534248;5279511527;5691281148
2009;64;M;Personenauto;1;352264004;;;;Van Heemstraweg;Geerstraat;Van Heemstraweg;Beuningen;Beuningen;Gelderland;W;176362;432173;5187768614;5697429973
2009;25;V;Personenauto;1;352318003;;;;Lage Valkseweg;Werftweg;Willinkhuizersteeg;Ede;Ede;Gelderland;W;176762;459028;5211904435;5704945993
2009;23;M;Personenauto;1;352563003;;;;Westergoawei;Ingelumerdyk;PROV WG;Menaldumadeel;Menaldumadeel;Friesland;W;176510;581073;5321584666;5709207156
2009;63;M;Fiets;2;353033180;;;;John F Kennedybrug;Prins Bisschopsingel;Prins Bisschopsingel;Maastricht;Maastricht;Limburg;K;176888;316973;5084218524;5697937851
